epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.372,2.00108,4.43203,1.81711,0.0004,0.075,0.00072,0.00026,1.84589,4.65536,1.93497,8.888e-05,8.888e-05,8.888e-05
2,69.3987,1.79062,4.05256,1.61644,0.00325,0.29217,0.10235,0.06557,1.63434,4.46995,1.54822,0.000182637,0.000182637,0.000182637
3,101.281,1.65623,3.8327,1.47781,0.00544,0.42424,0.15464,0.1076,1.40783,3.96023,1.20319,0.000269795,0.000269795,0.000269795
4,131.534,1.56138,3.25038,1.33087,0.00702,0.57576,0.16302,0.1165,1.70051,3.69482,1.27643,0.000350354,0.000350354,0.000350354
5,161.745,1.57334,2.94563,1.32567,0.98941,0.125,0.2241,0.14246,1.6772,3.45447,1.25812,0.000424313,0.000424313,0.000424313
6,192.074,1.55567,2.69003,1.32066,0.73948,0.19839,0.32917,0.1984,1.42477,3.30603,1.18764,0.000491673,0.000491673,0.000491673
7,222.258,1.56881,2.61464,1.2768,0.69947,0.25455,0.28673,0.18268,1.53446,3.19567,1.24133,0.000552434,0.000552434,0.000552434
8,252.841,1.49402,2.4143,1.24033,0.72592,0.25686,0.27622,0.17478,1.55004,3.00909,1.23275,0.000606595,0.000606595,0.000606595
9,282.845,1.40378,2.27392,1.16285,0.7356,0.28848,0.2885,0.19293,1.3433,2.95341,1.17084,0.000654157,0.000654157,0.000654157
10,312.822,1.45656,2.30957,1.21389,0.68931,0.29899,0.28259,0.19121,1.32951,2.7784,1.16976,0.000695119,0.000695119,0.000695119
11,343.075,1.50152,2.2682,1.25159,0.67517,0.35354,0.2646,0.19182,1.25849,2.79082,1.15309,0.000729483,0.000729483,0.000729483
12,373.423,1.4195,2.20712,1.2031,0.68217,0.34419,0.27318,0.18102,1.36939,2.92652,1.17534,0.000707707,0.000707707,0.000707707
13,403.668,1.4556,2.26375,1.25594,0.69812,0.29495,0.28213,0.18878,1.24512,2.87072,1.14627,0.000671044,0.000671044,0.000671044
14,433.682,1.37932,2.11432,1.1976,0.69233,0.27677,0.29067,0.18003,1.26529,2.65118,1.15143,0.000634381,0.000634381,0.000634381
15,464.085,1.33745,2.14914,1.19463,0.63983,0.34131,0.30074,0.17154,1.2845,2.61407,1.14999,0.000597718,0.000597718,0.000597718
16,494.158,1.407,2.08236,1.20994,0.6626,0.31755,0.27324,0.16909,1.28346,2.61096,1.17453,0.000561055,0.000561055,0.000561055
17,524.364,1.48833,2.24258,1.25122,0.66528,0.34001,0.2785,0.17617,1.2268,2.55835,1.15259,0.000524392,0.000524392,0.000524392
18,554.99,1.28483,1.91541,1.14882,0.69501,0.37061,0.29488,0.17433,1.26918,2.49013,1.1642,0.000487729,0.000487729,0.000487729
19,585.507,1.37974,2.01218,1.20483,0.71433,0.35769,0.31613,0.20181,1.45025,2.46013,1.27071,0.000451066,0.000451066,0.000451066
20,615.804,1.19233,1.82036,1.10283,0.72908,0.33158,0.32621,0.21761,1.53979,2.39532,1.42734,0.000414403,0.000414403,0.000414403
21,646.637,1.27721,2.17752,1.14135,0.71745,0.33535,0.31481,0.21298,1.46527,2.56317,1.44855,0.00037774,0.00037774,0.00037774
22,676.812,1.21341,2.11742,1.13253,0.7118,0.3798,0.31072,0.21242,1.5125,2.60409,1.48411,0.000341077,0.000341077,0.000341077
23,707.048,1.22868,2.03967,1.10662,0.50503,0.36162,0.30828,0.20925,1.68753,2.51378,1.55858,0.000304414,0.000304414,0.000304414
24,737.311,1.21098,2.14165,1.12455,0.71005,0.30303,0.30216,0.20683,1.69478,2.46329,1.5659,0.000267751,0.000267751,0.000267751
25,767.407,1.16541,2.01332,1.10283,0.78078,0.30303,0.3135,0.21034,1.63987,2.37876,1.4609,0.000231088,0.000231088,0.000231088
26,797.586,1.19311,2.09657,1.09212,0.82787,0.30303,0.32013,0.21422,1.57066,2.35053,1.34416,0.000194425,0.000194425,0.000194425
27,827.884,1.13662,1.92948,1.0692,0.56107,0.35343,0.36889,0.23804,1.44824,2.28433,1.26,0.000157762,0.000157762,0.000157762
28,858.286,1.18549,1.94721,1.12217,0.5734,0.37672,0.37713,0.24526,1.44483,2.22889,1.25973,0.000121099,0.000121099,0.000121099
29,888.447,1.1048,1.83171,1.06416,0.54405,0.39975,0.38247,0.25085,1.43001,2.20955,1.2537,8.4436e-05,8.4436e-05,8.4436e-05
30,918.586,1.05406,1.85929,1.01551,0.56436,0.41156,0.39007,0.24953,1.41921,2.2315,1.24178,4.7773e-05,4.7773e-05,4.7773e-05
